KPI Examples	VERWALTUNGSINDIKATOREN (KPI)	BESCHREIBUNG	FORMEL & KALKULATION	Wichtig	Links
○Customer & Produkt Analysekennzahlen	Zeit zur Auflösung	Durchschnittliche Zeit zur Lösung von Kundenproblemen.	Gesamtauflösung Zeit ÷ Gesamte Fälle	Mittel	Link
○Customer & Produkt Analysekennzahlen	Upsell Erfolgsquote	Prozentsatz der umgerechneten Upsell-Möglichkeiten.	(Erfolgreiche Upsells ÷ Total Upsell Opportunities) × 100	Mittel	Link
○Customer & Produkt Analysekennzahlen	Produktanalytikkennzahlen				
○Customer & Produkt Analysekennzahlen	Angebotsliste Preis	Prozentsatz der Nutzer, die neue Funktionen übernehmen.	(Benutzer von Feature ÷ Total Active Users) × 100	Mittel	Link
○Customer & Produkt Analysekennzahlen	An Bord der Abschlussquote	Prozentsatz der neuen Benutzer erfolgreich an Bord von Schritten.	(Benutzer abgeschlossen Onboarding ÷ Neue Benutzer) × 100	Hoch	
○Customer & Produkt Analysekennzahlen	Produktnutzungsrate	Prozentsatz der Nutzer, die Ihr Produkt innerhalb eines Zeitraums aktiv nutzen.	(Active Users ÷ Total Users) × 100	Hoch	
○Customer & Produkt Analysekennzahlen	Zeit zum ersten Wert (TTFV)	Zeit braucht es, um den Wert des Produkts zu erfahren.	Zeit des ersten Wertereignisses - An Bord der Startzeit	Hoch	Link
○Customer & Produkt Analysekennzahlen	Täglich aktive Nutzer (DAU)	Gesamtzahl der einzigartigen täglichen Benutzer.	Insgesamt einzigartige Nutzer pro Tag	Mittel	Link
○Customer & Produkt Analysekennzahlen	Monatliche aktive Nutzer (MAU)	Gesamtzahl der einzigartigen Benutzer über einen Monat.	Insgesamt einzigartige Benutzer pro Monat	Mittel	Link
○Customer & Produkt Analysekennzahlen	Benutzerrückhalterate	Prozentsatz der Nutzer, die nach ihrer ersten Sitzung zum Produkt zurückkehren.	(Retained Users ÷ Total Users) × 100	Hoch	Link
○Customer & Produkt Analysekennzahlen	Durchschnittliche Sitzungsdauer	Durchschnittliche Zeit Benutzer verbringen auf Ihrem Produkt während einer Sitzung.	Sitzungsperiode insgesamt ÷ Sitzungen insgesamt	Hoch	
○Customer & Produkt Analysekennzahlen	Sitzungshäufigkeit	Durchschnittliche Anzahl der Sitzungen pro Benutzer über einen bestimmten Zeitraum.	Gesamtsitzungen ÷ Gesamtbenutzer	Hoch	
○Customer & Produkt Analysekennzahlen	Kundenbetreuung (CES)	Messt Aufwand Kunden Erfahrung mit Ihrem Produkt / Service.	Erhebungsmetrik basierend auf einer Skala (z.B. 1-5).	Hoch	Link
○Customer & Produkt Analysekennzahlen	Bugs/Issues gemeldet	Gesamtzahl der von den Benutzern gemeldeten Fehler/Probleme.	Anzahl der Fehlerberichte	Niedrig	
○Customer & Produkt Analysekennzahlen	Funktion Nutzungshäufigkeit	Häufigkeit, mit der Benutzer eine bestimmte Funktion verwenden.	(Feature Usage Events ÷ Total Sessions) × 100	Mittel	
○Customer & Produkt Analysekennzahlen	Zeit Schlange pro Feature	Durchschnittliche Zeitverwender verbringen mit einer bestimmten Funktion.	Gesamtzeit auf Feature ÷ Feature Sessions	Mittel	
📈 Finanzen und Rechnungswesen Kennzahlen	Einnahmen insgesamt	Gesamteinkommen aus allen Geschäftsbereichen über einen bestimmten Zeitraum.	Summe aller Einnahmenquellen	Hoch	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Bruttogewinnspanne	Prozentsatz der Einnahmen, die nach Abzug der Kosten der verkauften Waren (COGS) zurückbleiben.	((Revenue - COGS) ÷ Einnahmen) × 100	Hoch	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Nettogewinnspanne	Prozentsatz der Einnahmen, die nach allen Ausgaben, Steuern und Kosten zurückbleiben.	(Nettogewinn Φ Einkommen) × 100	Hoch	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Betriebsgewinnspanne	Prozentsatz der Einnahmen, die nach den Betriebskosten zurückbleiben.	(Einkommen ÷ Einnahmen) × 100	Mittel	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Umsatzwachstumsrate	Steuersatz, zu dem die Einnahmen über einen bestimmten Zeitraum ansteigen.	((Vorläufige Einnahmen) × 100	Hoch	Link
📈 Finanzen und Rechnungswesen Kennzahlen	EBITDA	Ergebnis vor Zinsen, Steuern, Abschreibungen und Abschreibungen.	Einnahmen - Ausgaben (ohne Zinsen, Steuern, Abschreibungen und Abschreibungen)	Hoch	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Return on Sales (ROS)	Prozentsatz der Einnahmen, die in das operative Ergebnis umgerechnet werden.	Betriebsergebnis ÷ Umsatz × 100	Mittel	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Bruchpunkt	Die Einnahmen müssen alle Kosten decken und beginnen, Gewinn zu generieren.	Feste Kosten ÷ (Unit Preis - variable Kosten pro Einheit)	Mittel	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Einnahmen je Beschäftigten	Durchschnittseinkommen je Beschäftigten.	Gesamtumsatz ÷ Gesamtbeschäftigung	Mittel	
📈 Finanzen und Rechnungswesen Kennzahlen	Gewinn pro Kunde	Durchschnittliche Gewinne pro Kunde.	Gesamtgewinn ÷ Gesamtkunden	Mittel	
📈 Finanzen und Rechnungswesen Kennzahlen	Kosten- und Kostenmanagement Kennzahlen				
📈 Finanzen und Rechnungswesen Kennzahlen	Betriebskosten-Verhältnis (OER)	Prozentsatz der Einnahmen für die Betriebskosten.	(Operating Ausgaben ÷ Einnahmen) × 100	Hoch	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Kosten der verkauften Waren (COGS)	Direkte Kosten für die Herstellung von Waren oder Dienstleistungen, die vom Unternehmen verkauft werden.	Summe der Direktproduktionskosten	Hoch	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Betriebskosten insgesamt	Gesamtkosten, die bei laufenden Tagesgeschäften entstehen.	Summe aller Betriebskosten	Hoch	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Haushaltsvariante	Differenz zwischen geplantem Budget und tatsächlichen Ausgaben.	(Budgeted Costs - Tatsächliche Kosten)	Hoch	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Kosteneinsparungen erzielt	Gesamtersparnis durch Kostensenkungsinitiativen.	Erste Kosten - reduzierte Kosten	Mittel	
📈 Finanzen und Rechnungswesen Kennzahlen	Kosten prozentualer Anteil	Prozentsatz der Gesamteinnahmen auf Gemeinkosten.	(Overhead Kosten ÷ Einnahmen) × 100	Mittel	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Lohn- und Gehaltsverhältnis	Prozentsatz der Einnahmen, die für die Lohnkosten ausgegeben werden.	(Gesamtkosten ÷ Umsatz) × 100	Mittel	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Kosten pro Einheit	Durchschnittliche Kosten für die Herstellung oder den Erwerb einer Einheit eines Produktes oder Dienstes.	Gesamtkosten ÷ Einheiten Produziert	Mittel	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Variable Kostenrate	Prozentsatz der auf variable Kosten ausgegebenen Einnahmen.	(Variable Kosten ÷ Einnahmen) × 100	Mittel	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Feste Kostendeckungsquote	Messt die Fähigkeit des Unternehmens, feste Kosten mit Einnahmen zu decken.	Einnahmen ÷ Feste Kosten	Hoch	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Liquiditäts- und Cashflow-Kennzahlen				
📈 Finanzen und Rechnungswesen Kennzahlen	Aktuelles Verhältnis	Messt die Fähigkeit des Unternehmens, kurzfristige Verbindlichkeiten mit kurzfristigen Vermögenswerten zu zahlen.	Aktuelle Vermögenswerte ÷ Aktuelle Verbindlichkeiten	Hoch	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Quick Ratio (Acid-Test Ratio)	Messt die Fähigkeit, kurzfristige Verpflichtungen zu zahlen, ohne sich auf Inventar verlassen.	(Current Assets - Inventory) ÷ Aktuelle Verbindlichkeiten	Hoch	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Cash Conversion Cycle (CCC)	Zeit, die es braucht, um das Inventar in Cashflows aus dem Verkauf umzuwandeln.	Tage Inventory Outstanding + Days Sales Outstanding - Tage Payables Hervorragend	Mittel	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Betriebsmittelfluss (OCF)	Barmittel aus regelmäßigen Geschäftsbetrieben.	Cashflow aus Operationen insgesamt	Hoch	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Free Cash Flow (FCF)	Restbetrag nach den Kapitalaufwendungen.	Betriebsmittelfluss - Investitionsausgaben	Hoch	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Cash Flow Covering Rat	Messt die Fähigkeit des Unternehmens, Verbindlichkeiten mit Cashflow aus Operationen abzudecken.	Betriebsmittelfluss ÷ Gesamtlöslichkeiten	Mittel	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Cashflow zum Umsatz	Anteil der Einnahmen als Barmittel.	Betriebsmittelfluss ÷ Gesamtumsatz × 100	Mittel	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Erwerbskapitalquote	Messt Liquidität und betriebliche Effizienz.	(Current Assets - Aktuelle Verbindlichkeiten) ÷ Gesamtvermögen	Mittel	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Volumenstrom	Vergleicht Gesamtschulden zum operativen Cashflow.	Gesamtverschuldung ÷ Operating Cash Flow	Mittel	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Tage Bargeld auf der Hand	Messt, wie viele Tage das Unternehmen mit seinem verfügbaren Bargeld arbeiten kann.	(Cash ÷ Tägliche Betriebskosten)	Hoch	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Forderungen & Bezahlbar Kennzahlen				
📈 Finanzen und Rechnungswesen Kennzahlen	Days Sales Outstanding (DSO)	Durchschnittliche Anzahl der Tage es dauert, um die Zahlung nach einem Verkauf zu sammeln.	(Accounts Receivable ÷ Total Credit Sales) × Anzahl der Tage	Hoch	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Konten Aktiver Umsatz Verhältnis	Maßnahmen, wie effizient Forderungen während eines Zeitraums erhoben werden.	Netto-Kreditverkauf ÷ Durchschnittliche Konten	Hoch	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Durchschnittlicher Erfassungszeitraum	Durchschnittliche Zeit, um Forderungen zu sammeln.	365 ÷ Konten Forderung Umsatzverhältnis	Mittel	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Schlechte Schuldenquote	Prozentsatz der Forderungen, die als schlechte Schulden abgeschrieben werden.	(Bad Debts ÷ Gesamtkonten Aktivierbar) × 100	Mittel	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Tage Verfügbares Outding (DIP)	Durchschnittliche Anzahl der Tage, die das Unternehmen benötigt, um seine Lieferanten zu bezahlen.	(Accounts Payable ÷ COGS) × Anzahl der Tage	Hoch	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Konten Zahlbare Umsatzrate	Messt, wie schnell das Unternehmen seinen Lieferanten zahlt.	Gesamtzulieferer kauft ÷ Durchschnittskonten Bezahlbar	Hoch	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Durchschnittliche Zahlungsfrist	Durchschnittliche Zeit zur Abrechnung der zu zahlenden Konten.	365 ÷ Konten Zahlbare Umsatzrate	Mittel	
📈 Finanzen und Rechnungswesen Kennzahlen	Cash Conversion-Efficiency (CCE)	Messt die Effizienz der Umwandlung von Verkäufen in Bargeld.	Betriebsmittelfluss ÷ Umsatz × 100	Mittel	Link
📈 Finanzen und Rechnungswesen Kennzahlen	Kosten für die Auftragsverarbeitung	Durchschnittliche Kosten für die Abwicklung einer Rechnung.	Gesamtprozesskosten ÷ Gesamtrechnungen verarbeitet	Mittel	
📈 Finanzen und Rechnungswesen Kennzahlen	Zahlungsfehlerquote	Prozentsatz der Fehler bei Zahlungen an Lieferanten.	(Zahlungsfehler ÷ Gesamtzahlungen) × 100	Mittel	
👥 Personalcontrolling-Kennzahlen	Zeit zum Ausfüllen	Durchschnittliche Zeit, die benötigt wird, um einen Arbeitsplatz zu füllen.	Total Time to Fill All Roles ÷ Anzahl der Roles	Hoch	Link
👥 Personalcontrolling-Kennzahlen	Zeit zum Verleihen	Durchschnittliche Zeit zwischen Bewerbung und Annahme des Angebots.	Gesamtzeit zu mieten ÷ Anzahl der Hires	Hoch	Link
👥 Personalcontrolling-Kennzahlen	Kosten pro Miete	Durchschnittliche Kosten für die Anmietung eines Mitarbeiters.	Gesamtrekrutierungskosten ÷ Anzahl der Mieten	Hoch	Link
👥 Personalcontrolling-Kennzahlen	Angebot Akzeptanzrate	Prozentsatz der von Bewerbern akzeptierten Stellenangebote.	(Akzeptierte Angebote ÷ Gesamt Angebote) × 100	Mittel	Link
👥 Personalcontrolling-Kennzahlen	Sourcing Channel Effektivität	Verfolgen Sie, welche Kanäle die meisten Anmietungen generieren.	(Hires from Source ÷ Total Hires) × 100	Mittel	
👥 Personalcontrolling-Kennzahlen	Mitarbeiter Umsatz Preis	Prozentsatz der Arbeitnehmer, die während eines bestimmten Zeitraums verlassen.	(Mitarbeiter, die links ÷ Durchschnittlicher Gesamtarbeiter) × 100	Hoch	Link
👥 Personalcontrolling-Kennzahlen	Freiwilliger Umsatz Preis	Prozentsatz der freiwillig verlassenen Mitarbeiter.	(Voluntary Leavers ÷ Total Employes) × 100	Hoch	
👥 Personalcontrolling-Kennzahlen	Retentionsrate	Prozentsatz der Mitarbeiter, die über einen bestimmten Zeitraum bei dem Unternehmen bleiben.	((Gesamtarbeiter - Mitarbeiter, die links) ÷ Gesamtarbeiter) × 100	Hoch	Link
👥 Personalcontrolling-Kennzahlen	Interne Mietquote	Prozentsatz der Rollen, die von internen Kandidaten besetzt werden.	(Internal Hires ÷ Gesamt Hires) × 100	Mittel	Link
👥 Personalcontrolling-Kennzahlen	Durchschnittliche Spannung	Durchschnittliche Dauer der Mitarbeiter bleiben bei der Firma.	Gesamtbelastung aller Arbeitnehmer ÷ Gesamtbeschäftigung	Mittel	Link
👥 Personalcontrolling-Kennzahlen	Erstjährige Rücktrittsquote	Prozentsatz der Mitarbeiter, die innerhalb ihres ersten Jahres zurücktreten.	(Erste-Jahr-Rücktritte ÷ Neue Mieten insgesamt) × 100	Mittel	Link
👥 Personalcontrolling-Kennzahlen	Vacance Rate	Prozentsatz der freien Positionen im Unternehmen.	Gesamtpositionen × 100	Hoch	Link
👥 Personalcontrolling-Kennzahlen	Neuer Umsatz	Prozentsatz der neuen Mieten, die innerhalb eines bestimmten Zeitraums (z.B. 6 Monate) abreisen.	(New Hire Leavers ÷ Total New Hires) × 100	Mittel	
👥 Personalcontrolling-Kennzahlen	Mitarbeiter Engagement & Performance Kennzahlen				
👥 Personalcontrolling-Kennzahlen	Mitarbeiterbindung Ergebnis	Maßnahmen insgesamt Mitarbeiterbeteiligung durch Erhebungen.	(Gesamt Engagement Score ÷ Total Responses) × 100	Hoch	Link
👥 Personalcontrolling-Kennzahlen	Net Promoter Score (NPS) für Mitarbeiter	Maßnahmen, wie wahrscheinlich Mitarbeiter die Organisation als Arbeitsplatz empfehlen.	% Promoter - % Detractors	Hoch	Link
👥 Personalcontrolling-Kennzahlen	Mitarbeiter Zufriedenheitsergebnis (ESAT)	Messt die Zufriedenheit der Mitarbeiter durch Umfragen.	(Positive Reaktionen) × 100	Hoch	Link
👥 Personalcontrolling-Kennzahlen	Absenteism Rate	Prozentsatz der unbefristeten Abwesenheiten gegenüber den Gesamtarbeitstagen.	(Gesamt Unscheduled Absences ÷ Total Workdays) × 100	Mittel	Link
👥 Personalcontrolling-Kennzahlen	Mitarbeiter Produktivität Preis	Maßnahmen, die pro Arbeitnehmer bezogen auf die Eingabe ausgegeben werden (Arbeitsstunden usw.).	Ausgabe ÷ Stunden	Hoch	
👥 Personalcontrolling-Kennzahlen	Mitarbeiter Umsatz (Low Performers)	Prozentsatz der Mitarbeiter, die das Unternehmen verlassen.	(Low Performer Exits ÷ Mitarbeiter insgesamt) × 100	Mittel	
👥 Personalcontrolling-Kennzahlen	Peer Recognition Rate	Prozentsatz der Mitarbeiter, die an Anerkennungsprogrammen teilnehmen.	(Erkannte Mitarbeiter ÷ Gesamtarbeiter) × 100	Mittel	
👥 Personalcontrolling-Kennzahlen	Interne Promotion Rate	Prozentsatz der Förderungen, die an interne Mitarbeiter vergeben werden.	(Innenaktionen ÷ Gesamtaktionen) × 100	Mittel	
👥 Personalcontrolling-Kennzahlen	Work-Life Balance Score	Messt die Wahrnehmung der Mitarbeiter über ihre Work-Life-Balance.	Erhebungsbasierte Metrik (1-5 Skala zum Beispiel)	Mittel	
👥 Personalcontrolling-Kennzahlen	Ausbildung und Entwicklung Kennzahlen				
👥 Personalcontrolling-Kennzahlen	Ausbildungsabschluss	Prozentsatz der Mitarbeiter, die zugewiesene Ausbildungsprogramme abgeschlossen haben.	(Komplettes Training ÷ Zugeteiltes Training) × 100	Hoch	
👥 Personalcontrolling-Kennzahlen	Durchschnittliche Trainingsstunden pro Mitarbeiter	Durchschnittliche Anzahl der von den Arbeitnehmern über einen Zeitraum abgeschlossenen Ausbildungsstunden.	Gesamte Ausbildungszeiten ÷ Gesamte Mitarbeiter	Niedrig	
👥 Personalcontrolling-Kennzahlen	Kosten pro Training	Durchschnittliche Kosten pro Stunde der Ausbildung.	Ausbildungskosten insgesamt	Mittel	
👥 Personalcontrolling-Kennzahlen	Ausbildungsquote	Prozentsatz der Mitarbeiter, die an den geplanten Schulungen teilnehmen.	(Beschäftigte ÷ Mitarbeiter eingestellt) × 100	Mittel	
👥 Personalcontrolling-Kennzahlen	Interne Mobilität Preis	Prozentsatz der Mitarbeiter, die aufgrund der Ausbildung gefördert oder seitlich bewegt wurden.	(Internal Moves ÷ Mitarbeiter insgesamt) × 100	Hoch	Link
👥 Personalcontrolling-Kennzahlen	Zertifizierungssatz	Prozentsatz der Mitarbeiter, die nach dem Training Zertifizierungen erhalten.	(Mitarbeiter zertifiziert ÷ Mitarbeiter trainiert) × 100	Hoch	
👥 Personalcontrolling-Kennzahlen	eLearning Nutzungsrate	Prozentsatz der Mitarbeiter, die in eLearning-Programmen tätig sind.	(eLearning Teilnehmer ÷ Mitarbeiter insgesamt) × 100	Mittel	
👥 Personalcontrolling-Kennzahlen	HR Betriebseffizienzkennzahlen				
👥 Personalcontrolling-Kennzahlen	Personalkosten je Beschäftigten	Durchschnittliche Kosten der HR-Operationen pro Mitarbeiter.	Gesamte Personalkosten ÷ Gesamte Mitarbeiter	Hoch	Link
👥 Personalcontrolling-Kennzahlen	Zeit, Mitarbeiteranfragen zu lösen	Durchschnittliche Zeit dauert es HR, um Mitarbeiterbelange oder Anfragen zu lösen.	Total Time to Resolving Queries ÷ Total Queries	Hoch	Link
👥 Personalcontrolling-Kennzahlen	Personal Budget Nutzung	Prozentsatz des Personalbudgets, der innerhalb eines bestimmten Zeitraums ausgegeben wird.	(HR) Expension (HR Budget) × 100	Hoch	
👥 Personalcontrolling-Kennzahlen	Lohn- und Gehaltsempfänger	Prozentualer Anteil der ohne Fehler verarbeiteten Lohnrollen.	(Akcurate Payrolls ÷ Total Payrolls) × 100	Hoch	Link
👥 Personalcontrolling-Kennzahlen	Abrufquote	Prozentsatz der Mitarbeiter, die freiwillig oder unfreiwillig ausscheiden.	(Arbeitnehmer ÷ Durchschnittliche Gesamtbeschäftigte) × 100	Hoch	Link
💵 Verkaufskennzahlen	Einnahmen insgesamt	Gesamtertrag aus Verkäufen innerhalb eines bestimmten Zeitraums.	Summe aller Umsatzerlöse	Hoch	Link
💵 Verkaufskennzahlen	Bruttogewinnspanne	Prozentsatz der Einnahmen, die nach Abzug der Kosten der verkauften Waren (COGS) zurückbleiben.	((Revenue - COGS) ÷ Einnahmen) × 100	Hoch	Link
💵 Verkaufskennzahlen	Nettogewinnspanne	Prozentsatz der Einnahmen, die nach allen Ausgaben, Steuern und Kosten zurückbleiben.	(Nettogewinn Φ Einkommen) × 100	Hoch	Link
💵 Verkaufskennzahlen	Umsatzwachstumsrate	Rate, zu der der Umsatz über einen bestimmten Zeitraum steigt.	((Zurzeitige Einnahmen - Vorheriger Zeitraum Einnahmen) ÷ Vorheriger Zeitraum Einnahmen) × 100	Hoch	Link
💵 Verkaufskennzahlen	Durchschnittliche Umsatz pro Nutzer (ARPU)	Durchschnittliche Einnahmen pro Kunde über eine bestimmte Zeit.	Gesamtumsatz ÷ Gesamtkunden	Mittel	Link
💵 Verkaufskennzahlen	Kundenlebenswert (CLV)	Gesamteinnahmen, die von einem Kunden über sein Leben erwartet werden.	Durchschnittlicher Kaufwert × Kauf Frequenz × Kundenlebensdauer	Hoch	Link
💵 Verkaufskennzahlen	Verkauf durch Produkt oder Service	Umsatzaufschlüsselung nach einzelnen Produkten oder Dienstleistungen.	Bildmaterial von Verkaufsanalysen	Hoch	
💵 Verkaufskennzahlen	Umsatzwachstumsrate	Messt die Steigerung oder Abnahme des Umsatzes im Laufe der Zeit.	((Verkaufszeitraum - Vorheriger Umsatz) ÷ Vorheriger Umsatz) × 100	Mittel	
💵 Verkaufskennzahlen	Verkaufskosten	Gesamtkosten, die direkt mit dem Verkauf eines Produkts oder einer Dienstleistung verbunden sind.	Summe der Direktverkaufskosten	Mittel	Link
💵 Verkaufskennzahlen	Umsatz Beitragsspanne	Die Gewinne, die nach variablen Kosten durch den Umsatz erzielt werden, werden subtrahiert.	Einnahmen × 100	Mittel	Link
💵 Verkaufskennzahlen	Vertriebsteam Leistungskennzahlen				
💵 Verkaufskennzahlen	Umsatz Zielerzielungsrate	Prozentsatz des Verkaufsziels, das durch das Team oder einzelne Vertreter erreicht wird.	(current Sales ÷ Sales Target) × 100	Hoch	
💵 Verkaufskennzahlen	Gewinne	Prozentsatz der gewonnenen Angebote im Vergleich zu Gesamtchancen.	(Deals Won ÷ Gesamtchancen) × 100	Hoch	
💵 Verkaufskennzahlen	Durchschnittliche Verkaufsmenge	Durchschnittliche Einnahmen pro abgeschlossenem Geschäft.	Gesamtumsatz ÷ Geschlossene Angebote insgesamt	Mittel	
💵 Verkaufskennzahlen	Verkäufe pro Rep	Gesamtumsatz, der von jedem Verkaufsvertreter erzielt wird.	Umsatz Generiert ÷ Gesamtumsatz wiederholt	Hoch	
💵 Verkaufskennzahlen	Umrechnungskurs für die Leitzinsen	Prozentsatz der Leads, die in Verkaufschancen umgewandelt wurden.	(Qualified Leads ÷ Total Leads) × 100	Mittel	Link
💵 Verkaufskennzahlen	Umrechnungskurs Opportunity-to-Win	Prozentsatz der Chancen, die erfolgreich in Angebote umgewandelt wurden.	(Deals Won ÷ Gesamtchancen) × 100	Hoch	Link
💵 Verkaufskennzahlen	Durchschnittlicher Verkaufszyklus Länge	Durchschnittliche Zeit dauert es, einen Deal von Anfangskontakt zu schließen.	Alle Angebote zu schließen ÷ Geschlossene Angebote insgesamt	Mittel	Link
💵 Verkaufskennzahlen	Call-to-Meeting Ratio	Prozentsatz der Verkaufsgespräche, die in planmäßigen Sitzungen resultieren.	(Meetings Scheduled ÷ Verkaufsgespräche gemacht) × 100	Mittel	
💵 Verkaufskennzahlen	Kundenbeschaffungskosten (CAC) durch Rep	Durchschnittliche Kosten für den Erwerb eines Kunden, segmentiert von rep.	Gesamtverkauf & Marketing Verbringen Sie ÷ Kunden, die pro Rep erworben werden	Mittel	
💵 Verkaufskennzahlen	Pipeline-Wert für Sales Rep	Gesamtwert der Angebote, die derzeit in der Pipeline für jeden Vertriebsreferent vorhanden sind.	Summe der Deal-Werte in Pipeline	Hoch	
💵 Verkaufskennzahlen	Tätigkeit pro Rep	Gesamtzahl der abgeschlossenen Aktivitäten (Calls, E-Mails, Meetings, etc.) pro Rep.	Gesamtaktivitäten ÷ Anzahl der Wiederholungen	Mittel	
💵 Verkaufskennzahlen	Lead Generation & Conversion Kennzahlen				
💵 Verkaufskennzahlen	Anzahl der gewonnenen Leads	Gesamtzahl der während eines bestimmten Zeitraums erworbenen Leads.	Summe aller erfassten Leads	Hoch	
💵 Verkaufskennzahlen	Umrechnungskurs	Prozentsatz der Leads, die in zahlende Kunden umgewandelt werden.	(Converted Leads ÷ Total Leads) × 100	Hoch	
💵 Verkaufskennzahlen	Marketing Qualifizierte Leads (MQLs)	Anzahl der Leads, die für die Übergabe an das Vertriebsteam vorgesehen sind.	MQL insgesamt generiert	Hoch	Link
💵 Verkaufskennzahlen	Verkauf Qualifizierte Leads (SQLs)	Anzahl der nach der Verkaufsqualifikation als verkaufsfertig zugelassenen Leads.	Total SQLs Generiert	Hoch	Link
